,Timestamp,Press,Position,Temp,Omega,Speed,Car_id
0,2017-03-03 00:00:00,2.54999995232,Front Left,9.0,45.4199999641,51.0111111535,Volvo V40
1,2017-03-03 00:00:00,2.75,Rear Left,29.0,70.9617082549,79.8697624207,Volvo V40
2,2017-03-03 00:00:00,2.79999995232,Rear Rigth,31.0,70.9039023795,79.8697624207,Volvo V40
3,2017-03-03 00:00:00,2.54999995232,Front Rigth,12.0,45.3947056041,51.0111111535,Volvo V40
4,2017-03-03 00:01:00,2.54999995232,Front Left,9.0,44.7129091436,50.260892868,Volvo V40
5,2017-03-03 00:01:00,2.79999995232,Rear Left,31.0,66.6307293574,75.2297942958,Volvo V40
6,2017-03-03 00:01:00,2.54999995232,Front Rigth,12.0,44.6799999584,50.260892868,Volvo V40
7,2017-03-03 00:01:00,2.79999995232,Rear Rigth,32.0,66.7374999523,75.2297942958,Volvo V40
8,2017-03-03 00:02:00,2.57638881604,Front Rigth,12.5277777778,44.277798553,49.7208551031,Volvo V40
9,2017-03-03 00:02:00,2.79999995232,Rear Left,32.0,103.908181971,116.901685222,Volvo V40
1210116,2017-06-01 04:07:00,3.0,Front Left,46.0,71.1274074978,85.1541467062,Audi A6
1210117,2017-06-01 04:07:00,3.09999990463,Front Rigth,49.0,84.1832529091,100.787066203,Audi A6
1210118,2017-06-01 04:07:00,3.09999990463,Rear Rigth,47.0,103.410731897,124.145662698,Audi A6
1210119,2017-06-01 04:07:00,3.15000009537,Rear Left,47.0,103.443485491,124.141641645,Audi A6
1210120,2017-06-01 04:08:00,3.0,Front Left,46.0,84.2171084852,100.787066203,Audi A6
1210121,2017-06-01 04:08:00,3.09999990463,Front Rigth,49.0,103.581110636,124.221578498,Audi A6
1210122,2017-06-01 04:08:00,3.09999990463,Rear Rigth,47.0,103.406734778,124.144141457,Audi A6
1210123,2017-06-01 04:08:00,3.15000009537,Rear Left,47.0,103.443537177,124.145662698,Audi A6
1210124,2017-06-01 04:09:00,3.09999990463,Rear Rigth,47.0,103.393772058,124.130782749,Audi A6
1210125,2017-06-01 04:09:00,3.15000009537,Rear Left,47.0,103.436837255,124.144141457,Audi A6
1210126,2017-06-01 04:09:00,3.0,Front Left,46.0,103.675555335,124.221578498,Audi A6
1210127,2017-06-01 04:09:00,3.09999990463,Front Rigth,49.0,103.512352663,124.136570958,Audi A6
1210128,2017-06-01 04:10:00,3.09999990463,Front Rigth,49.0,103.489599762,124.108431199,Audi A6
1210129,2017-06-01 04:10:00,3.15000009537,Rear Left,47.0,103.421228509,124.130782749,Audi A6
1210130,2017-06-01 04:10:00,3.09999990463,Rear Rigth,47.0,103.381307866,124.118091554,Audi A6
62250,2017-03-18 01:07:00,2.70000004768,Front Left,26.0,67.9572730324,82.8983929498,Porsche 911
362251,2017-03-18 01:07:00,2.70000004768,Front Rigth,31.0,67.8538185813,82.8983929498,Porsche 911
362252,2017-03-18 01:08:00,3.09999990463,Rear Left,28.0,68.8123075045,82.9029117053,Porsche 911
362253,2017-03-18 01:08:00,3.09999990463,Rear Rigth,29.0,68.8030768174,82.9029117053,Porsche 911
362254,2017-03-18 01:08:00,2.70000004768,Front Rigth,31.0,67.8537181952,82.9029117053,Porsche 911
362255,2017-03-18 01:08:00,2.70000004768,Front Left,26.0,67.9574362926,82.9029117053,Porsche 911
362256,2017-03-18 01:09:00,2.70000004768,Front Rigth,31.0,67.8363370234,82.888039458,Porsche 911
362257,2017-03-18 01:09:00,2.70000004768,Front Left,26.0,67.9457428432,82.888039458,Porsche 911
362258,2017-03-18 01:09:00,3.09999990463,Rear Left,28.0,68.7959405125,82.888039458,Porsche 911
362259,2017-03-18 01:09:00,3.09999990463,Rear Rigth,29.0,68.7868315442,82.888039458,Porsche 911
362260,2017-03-18 01:10:00,2.79999995232,Front Rigth,30.0,99.8411770989,122.233333588,Porsche 911
